"Код ошибки","Описание","Устранение ошибки","Тип ошибки"
"2003","ИНН, указанный в чеке не соответствует ИНН компании.","Проверьте чек, измените ИНН, повторите попытку.","agent"
"2004","Внутренняя ошибка сервиса.","Произошел сбой кассы. Обратитесь к администратору.","agent"
"2005","Внутренняя ошибка сервиса.","Произошел сбой кассы. Обратитесь к администратору.","agent"
"2006","Некорректный формат JSON Некорректно указано значение одного из полей в запросе или поле отсутствует.","Необходимо исправить чек и отправить повторно.","agent"
"2007","Некорректное значение в JSON Некорректно указано значение одного из полей в запросе или поле отсутствует.","Необходимо исправить чек и отправить повторно.","agent"
"2009","ИНН в запросе не совпадает с ИНН на кассе В чеке указан ИНН не соответствующий ИНН в кассе.","Необходимо исправить чек и отправить повторно.","agent"
"001","Соединение не установлено Произошел сбой кассы.","Обратитесь к администратору.","driver"
"002","Нет связи Произошел сбой кассы.","Обратитесь к администратору.","driver"
"003","Порт занят Произошел сбой кассы.","Обратитесь к администратору.","driver"
"004","Порт недоступен Произошел сбой кассы.","Обратитесь к администратору.","driver"
"005","Некорректные данные от устройства Произошел сбой кассы.","Обратитесь к администратору.","driver"
"006","Внутренняя ошибка библиотеки Произошел сбой кассы.","Обратитесь к администратору.","driver"
"007","Неподдерживаемое преобразование типа параметра Произошел сбой кассы.","Обратитесь к администратору.","driver"
"008","Не найден обязательный параметр Произошел сбой кассы.","Обратитесь к администратору.","driver"
"009","Некорректные настройки Произошел сбой кассы.","Обратитесь к администратору.","driver"
"010","Драйвер не настроен Произошел сбой кассы.","Обратитесь к администратору.","driver"
"011","Не поддерживается в данной версии (драйвера или ККТ) Произошел сбой кассы.","Обратитесь к администратору.","driver"
"012","Не поддерживается в данном режиме Произошел сбой кассы.","Обратитесь к администратору.","driver"
"013","Некорректное значение параметра Некорректный запрос.","Необходимо исправить чек и отправить повторно.","driver"
"014","Не удалось загрузить библиотеку Произошел сбой кассы.","Обратитесь к администратору.","driver"
"015","Неизвестная ошибка Произошел сбой кассы.","Обратитесь к администратору.","driver"
"016","Неверная цена (сумма) Неверная цена (сумма).","Необходимо исправить чек и отправить повторно.","driver"
"017","Неверное количество Неверное количество в товарной позиции чека.","Необходимо исправить чек и отправить повторно.","driver"
"018","Переполнение счетчика наличности Произошел сбой кассы.","Обратитесь к администратору.","driver"
"019","Невозможно сторно последней операции Произошел сбой кассы.","Обратитесь к администратору.","driver"
"020","Сторно по коду невозможно Произошел сбой кассы.","Обратитесь к администратору.","driver"
"021","Невозможен повтор последней операции Произошел сбой кассы.","Обратитесь к администратору.","driver"
"022","Повторная скидка на операцию невозможна Произошел сбой кассы.","Обратитесь к администратору.","driver"
"023","Невозможно начислить скидку/надбавку Некорректный запрос.","Необходимо исправить чек и отправить повторно.","driver"
"024","Неверный код товара Некорректный запрос.","Необходимо исправить чек и отправить повторно.","driver"
"026","Неверный формат команды Произошел сбой кассы.","Обратитесь к администратору.","driver"
"027","Неверная длина Некорректно указано значение одного из полей в запросе или поле отсутствует.","Необходимо исправить чек и отправить повторно.","driver"
"028","ККТ заблокирована в режиме ввода даты Произошел сбой кассы.","Обратитесь к администратору.","driver"
"029","Требуется подтверждение ввода даты Произошел сбой кассы.","Обратитесь к администратору.","driver"
"030","Нет больше данных Произошел сбой кассы.","Обратитесь к администратору.","driver"
"031","Нет подтверждения или отмены продажи Произошел сбой кассы.","Обратитесь к администратору.","driver"
"032","Отчет о закрытии смены прерван Произошел сбой кассы.","Обратитесь к администратору.","driver"
"034","Вход в режим заблокирован Произошел сбой кассы.","Обратитесь к администратору.","driver"
"035","Проверьте дату и время Произошел сбой кассы.","Обратитесь к администратору.","driver"
"036","Переданные дата/время меньше даты/времени последнего фискального документа Произошел сбой кассы.","Отправьте чек повторно.","driver"
"038","Товар не найден Некорректный запрос.","Обратитесь к администратору.","driver"
"040","Переполнение буфера чека Произошел сбой кассы.","Отправьте чек повторно.","driver"
"041","Недостаточное количество товара Некорректный запрос.","Необходимо исправить чек и отправить повторно.","driver"
"042","Сторнируемое количество больше проданного Произошел сбой кассы.","Обратитесь к администратору.","driver"
"043","Товар не найден Некорректный запрос.","Обратитесь к администратору.","driver"
"048","Неверный тип чека Неверный тип чека.","Необходимо исправить чек и отправить повторно.","driver"
"052","Сумма не наличных платежей превышает сумму чека Некорректный запрос.","Необходимо исправить чек и отправить повторно.","driver"
"053","Накопление меньше суммы возврата или аннулирования Некорректный запрос.","Необходимо исправить чек и отправить повторно.","driver"
"054","Переполнение суммы платежей Произошел сбой кассы.","Обратитесь к администратору.","driver"
"055","Предыдущая операция незавершена Произошел сбой кассы.","Обратитесь к администратору.","driver"
"057","Неверная величина скидки / надбавки Некорректный запрос.","Обратитесь к администратору.","driver"
"058","Операция после скидки / надбавки невозможна Некорректный запрос.","Обратитесь к администратору.","driver"
"059","Неверная секция Произошел сбой кассы.","Обратитесь к администратору.","driver"
"060","Неверный вид оплаты Неверный вид оплаты.","Необходимо исправить чек и отправить повторно.","driver"
"061","Переполнение при умножении Произошел сбой кассы.","Обратитесь к администратору.","driver"
"062","Операция запрещена в таблице настроек Произошел сбой кассы.","Обратитесь к администратору.","driver"
"063","Переполнение итога чека Превышение лимита по сумме чека.","Обратитесь к администратору.","driver"
"064","Открыт чек аннулирования – операция невозможна Произошел сбой кассы.","Обратитесь к администратору.","driver"
"065","Переполнение буфера ЭЖ Произошел сбой кассы.","Обратитесь к администратору.","driver"
"066","Чек оплачен не полностью Некорректный запрос.","Необходимо исправить чек и отправить повторно.","driver"
"067","Открыт чек возврата – операция невозможна Произошел сбой кассы.","Обратитесь к администратору.","driver"
"068","Смена превысила 24 часа Произошел сбой кассы.","Обратитесь к администратору.","driver"
"069","Открыт чек продажи – операция невозможна Произошел сбой кассы.","Обратитесь к администратору.","driver"
"070","Переполнение ФП Произошел сбой кассы.","Обратитесь к администратору.","driver"
"071","Неверный пароль Произошел сбой кассы.","Обратитесь к администратору.","driver"
"072","Идет обработка ЭЖ Произошел сбой кассы.","Обратитесь к администратору.","driver"
"073","Смена закрыта - операция невозможна Произошел сбой кассы.","Обратитесь к администратору.","driver"
"077","Неверная дата и/или время Произошел сбой кассы.","Обратитесь к администратору.","driver"
"078","Неверная сумма сторно Произошел сбой кассы.","Обратитесь к администратору.","driver"
"080","В ККТ нет денег для выплаты Некорректный запрос.","Обратитесь к администратору.","drive"
"081","Чек закрыт – операция невозможна Произошел сбой кассы.","Обратитесь к администратору.","driver"
"082","Чек открыт – операция невозможна Произошел сбой кассы.","Обратитесь к администратору.","driver"
"083","Смена открыта, операция невозможна Произошел сбой кассы.","Обратитесь к администратору.","driver"
"086","Неверный номер смены Произошел сбой кассы.","Обратитесь к администратору.","driver"
"089","ККТ не зарегистрирована Произошел сбой кассы.","Обратитесь к администратору.","driver"
"090","Не задан серийный номер Произошел сбой кассы.","Обратитесь к администратору.","driver"
"093","Данные документа отсутствуют Произошел сбой кассы.","Обратитесь к администратору.","driver"
"095","Требуется выполнение общего гашения Произошел сбой кассы.","Обратитесь к администратору.","driver"
"097","Невозможна отмена скидки/надбавки Произошел сбой кассы.","Обратитесь к администратору.","driver"
"098","Невозможно закрыть чек данным типом оплаты Некорректный запрос.","Необходимо исправить чек и отправить повторно.","driver"
"104","Ошибка обмена с фискальным модулем Произошел сбой кассы.","Обратитесь к администратору.","driver"
"105","Необходимо провести профилактические работы Произошел сбой кассы.","Обратитесь к администратору.","driver"
"106","Неверные номера смен в ККТ и ФН Произошел сбой кассы.","Обратитесь к администратору.","driver"
"107","Нет устройства, обрабатывающего данную команду Произошел сбой кассы.","Обратитесь к администратору.","driver"
"109","Ошибочное состояние ТРК Произошел сбой кассы.","Обратитесь к администратору.","driver"
"110","Недопустимое кол- во позиций в чеке Некорректный запрос.","Необходимо исправить чек и отправить повторно.","driver"
"111","Ошибочный номер ТРК Произошел сбой кассы.","Обратитесь к администратору.","driver"
"112","Неверный делитель Произошел сбой кассы.","Обратитесь к администратору.","driver"
"115","Ошибка обмена с ФН на уровне интерфейса I2C Произошел сбой кассы.","Обратитесь к администратору.","driver"
"116","Ошибка формата передачи ФН Произошел сбой кассы.","Обратитесь к администратору.","driver"
"117","Неверное состояние ФН Произошел сбой кассы.","Обратитесь к администратору.","driver"
"118","Неисправимая ошибка ФН Произошел сбой кассы.","Обратитесь к администратору.","driver"
"119","Ошибка КС ФН Произошел сбой кассы.","Обратитесь к администратору.","driver"
"120","Закончен срок эксплуатации ФН Произошел сбой кассы.","Обратитесь к администратору.","driver"
"121","Архив ФН переполнен Произошел сбой кассы.","Обратитесь к администратору.","driver"
"122","В ФН переданы неверная дата или время Произошел сбой кассы.","Обратитесь к администратору.","driver"
"123","В ФН нет запрошенных данных Произошел сбой кассы.","Обратитесь к администратору.","driver"
"124","Переполнение ФН (итог чека / смены) Произошел сбой кассы.","Обратитесь к администратору.","driver"
"125","Буфер переполнен Произошел сбой кассы.","Обратитесь к администратору.","driver"
"127","Требуется гашение ЭЖ Произошел сбой кассы.","Обратитесь к администратору.","driver"
"128","Некорректная сумма налога Некорректная сумма налога.","Необходимо исправить чек и отправить повторно.","driver"
"129","Начисление налога на последнюю операцию невозможно Произошел сбой кассы.","Обратитесь к администратору.","driver"
"131","Сумма сторно налога больше суммы зарегистрированного налога данного типа Произошел сбой кассы.","Обратитесь к администратору.","driver"
"132","Операция невозможна, недостаточно питания Произошел сбой кассы.","Обратитесь к администратору.","driver"
"133","Некорректное значение параметров команды ФН Произошел сбой кассы.","Обратитесь к администратору.","driver"
"134","Превышение размеров TLV данных ФН Некорректный запрос.","Обратитесь к администратору.","driver"
"135","Нет транспортного соединения ФН Произошел сбой кассы.","Обратитесь к администратору.","driver"
"136","Исчерпан ресурс КС ФН Произошел сбой кассы.","Обратитесь к администратору.","driver"
"137","Ресурс хранения ФД исчерпан Произошел сбой кассы.","Обратитесь к администратору.","driver"
"138","Сообщение от ОФД не может быть принято ФН Произошел сбой кассы.","Обратитесь к администратору.","driver"
